City,Type,Area,Price,Purpose,Location,Built in year,Electricity Backup,Floors,Bedrooms,Bathrooms,Servant Quarters,Kitchens,Lawn or Garden,Luxury_Score
Karachi,Flat,244 Sq. Yd.,"PKR
5.75 Crore",For Sale,"Clifton, Karachi, Sindh",2021.0,0.0,,3,4,1.0,1.0,,0
Karachi,Flat,311 Sq. Yd.,"PKR
8.9 Crore",For Sale,"Clifton, Karachi, Sindh",2023.0,0.0,,4,6,1.0,2.0,,0
Karachi,House,"1,000 Sq. Yd.","PKR
45 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,3.0,6,6,,,,0
Karachi,House,666 Sq. Yd.,"PKR
32 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,3.0,6,6,,,,0
Karachi,House,"1,000 Sq. Yd.","PKR
45 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,4.0,6,6,,,,0
Karachi,House,"1,000 Sq. Yd.","PKR
41 Crore",For Sale,"DHA Defence, Karachi, Sindh",2024.0,0.0,3.0,6,6,,,,0
Karachi,House,500 Sq. Yd.,"PKR
21.5 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,0.0,3.0,6,6,,,,0
Karachi,Flat,106 Sq. Yd.,"PKR
60 Lakh",For Sale,"Bahria Town Karachi, Karachi, Sindh",2024.0,0.0,,2,2,1.0,1.0,,0
Karachi,Flat,221 Sq. Yd.,"PKR
2.65 Crore",For Sale,"Jinnah Avenue, Karachi, Sindh",2023.0,0.0,,3,4,1.0,1.0,,0
Karachi,House,500 Sq. Yd.,"PKR
5.4 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",,0.0,,5,5,1.0,2.0,,0
Karachi,Flat,122 Sq. Yd.,"PKR
50 Lakh",For Sale,"Bahria Town Karachi, Karachi, Sindh",2012.0,0.0,,2,2,1.0,1.0,,0
Karachi,House,125 Sq. Yd.,"PKR
1.2 Crore",For Sale,"Bahria Town Karachi, Karachi, Sindh",,0.0,2.0,3,3,1.0,1.0,,0
Karachi,Flat,228 Sq. Yd.,"PKR
7.3 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,0.0,,3,4,1.0,1.0,,0
Karachi,Flat,111 Sq. Yd.,"PKR
3.6 Crore",For Sale,"DHA Defence, Karachi, Sindh",2025.0,0.0,,1,2,1.0,1.0,,0
Karachi,Flat,133 Sq. Yd.,"PKR
3.15 Crore",For Sale,"DHA Defence, Karachi, Sindh",2029.0,0.0,,1,1,1.0,1.0,,0
Karachi,Flat,356 Sq. Yd.,"PKR
10.5 Crore",For Sale,"Bath Island, Karachi, Sindh",2025.0,0.0,,4,6,1.0,2.0,,0
Karachi,Flat,244 Sq. Yd.,"PKR
4.25 Crore",For Sale,"Clifton, Karachi, Sindh",2020.0,0.0,,3,4,1.0,1.0,,0
Karachi,Flat,158 Sq. Yd.,"PKR
5.6 Crore",For Sale,"DHA Defence, Karachi, Sindh",2029.0,0.0,,2,2,1.0,1.0,,0
Karachi,Flat,289 Sq. Yd.,"PKR
6.25 Crore",For Sale,"Bath Island, Karachi, Sindh",2023.0,0.0,,4,6,1.0,1.0,,0
Karachi,Flat,244 Sq. Yd.,"PKR
7.5 Crore",For Sale,"Bath Island, Karachi, Sindh",2018.0,0.0,,3,4,1.0,1.0,,0
